match_id,date,round,team,opponent,venue,result,goalkeeper,match_name,player_id,shirt_number,listed_position,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attHdMiss,attHdTotal,attIboxMiss,attMissRight,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonTackle,yellowCard
5ukg1obkqxeqht5kuk0jqpmvo,2026-05-17,7,Fram,KR,A,2-2,Viktor Freyr Sigurðsson,V. Sigurðsson,ep3hf2ww6epapo978sbn665be,22,Goalkeeper,10,2,11,2,1,3,9,14,21,,,,1,,,,,,,,,8,3,,,13,,,1,,,,2,2,,,3,,,,14,10,1,,32,1,,2,2,2,,,,10,3,,3,26,11,1,90,1,,28,,2,10,1,1,,,,,16,16,3,,,2,1,2,1,2,3,1,,,,5,1,5,15,,,1,0,1,11,2,3,,14,26,,1,23,30,37,,,,,,47,,,,,,0,,,
5t052l9m427r9o8kxqbgxnaj8,2026-05-17,7,KA,FH,A,2-1,Steinþór Már Auðunsson,S. Auðunsson,381vrdne8tq32r6gu1hc5dp05,13,Goalkeeper,15,2,5,6,,4,1,7,20,,,,,,,,,,,,,9,8,,,7,,3,,6,,,,,,1,,,,,9,4,1,,23,1,,8,1,1,,2,,4,4,,1,14,5,1,90,,,16,,1,6,1,,,,,,9,9,,1,3,,,5,3,1,4,,,,4,,,,12,,,,0,,15,5,,,9,14,2,,4,16,29,,,,,,40,,,,,1,0,,,1
5ukg1obkqxeqht5kuk0jqpmvo,2026-05-17,7,KR,Fram,H,2-2,Halldór Snær Georgsson,H. Georgsson,cdx5akkzjrm6j7erasu8k4hlg,12,Goalkeeper,47,1,2,12,,10,,2,49,,,1,,,,,,,,,,10,5,,,16,,,,,,,,,,2,4,,,,3,3,1,,30,1,,12,2,2,,1,,10,10,,23,7,2,1,90,,,43,,,,1,1,,,,,8,8,5,,,2,,4,3,2,5,,,,5,1,1,1,35,,,,0,,50,2,4,,3,7,2,,5,8,57,,,,,,79,,,,,1,0,,,
5tis3mhb7iomyd45sflwboahg,2026-05-17,7,Keflavík,Stjarnan,H,1-1,Ásgeir Orri Magnússon,Ásgeir Orri Magnússon,67iuqfijm1h3db1j85g111rf8,1,Goalkeeper,10,,5,3,1,12,2,7,15,,,,,,,,,,,,,12,2,,,16,,1,,3,,,,,,2,1,,,,4,2,1,,18,1,1,4,1,1,,1,,15,12,,4,14,6,,90,,,14,,1,3,,,,,,,8,8,,,,,,1,5,,5,,,,4,1,,1,9,,,,0,,10,,1,,4,13,1,1,8,15,23,,,,,,45,,,,,2,0,,,
5tis3mhb7iomyd45sflwboahg,2026-05-17,7,Stjarnan,Keflavík,A,1-1,Árni Snær Ólafsson,Á. Ólafsson,7ibfw77zng0sh9dv2h0srauol,12,Goalkeeper,14,2,6,1,,11,4,7,20,,,2,,,,,,,,,,13,6,,,17,,1,,4,,,,1,,2,1,,,,6,5,1,,21,1,,3,1,1,,1,,14,11,,7,13,6,,90,,,22,,3,,,,,,,,10,10,2,,2,,,2,6,2,8,,,,,4,4,4,16,,,,0,,17,2,1,,6,13,2,,10,17,30,,,,,,52,,,,,,0,,,
5rx3fopl2oe3gjgx1el9pydjo,2026-05-17,7,Thór,ÍA,H,1-2,Aron Birkir Stefánsson,A. Stefánsson,2vfiu4zekww816g1j3bverill,1,Goalkeeper,17,,1,2,,6,1,2,18,,,,,,,,,,,,,9,5,,,11,,1,,3,,,3,3,,,2,,,,9,3,1,,22,1,,3,2,2,,3,,8,6,,8,16,1,3,90,,,25,,8,,1,,,,1,1,19,19,,,,2,,7,2,1,3,,,,,1,,1,14,,,,0,,21,7,2,,9,16,3,,8,21,37,,,,,,51,,,,,,0,,,
5u1s01z8c0hby3bnfjak9usr8,2026-05-17,7,Valur,Breidablik,H,3-2,Frederik August Albrecht Schram,F. Schram,c4esrbgbv6v715768v2cb676d,18,Goalkeeper,19,,4,8,1,5,1,5,23,,,,,,,,,,,,,16,6,,,7,,,,3,,,,1,,,2,,,,6,2,1,,18,1,,13,2,1,1,,,6,5,,9,13,4,,90,,,18,,4,1,1,,,,,,11,11,1,,2,1,,7,4,1,5,,,,1,1,1,1,13,,,,0,,21,,2,,6,13,,1,7,16,34,,,,,,46,,,,,,0,,,
5sfod7t8jgyd344d29gj6vpqs,2026-05-17,7,Víkingur R,ÍBV,A,2-0,Aron Snær Friðriksson,A. Friðriksson,7djiu062df2mock06lrukjw0l,29,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5rx3fopl2oe3gjgx1el9pydjo,2026-05-17,7,ÍA,Thór,A,2-1,Árni Marinó Einarsson,Á. Einarsson,9dwayhvpts3huz0z8pid94i96,1,Goalkeeper,7,2,1,1,,3,1,2,8,,,1,,,,,,,,,,13,5,,,9,,,,,,,,,,1,,,,,,,1,,11,1,,1,1,1,,1,,7,3,,4,8,1,,90,,,11,,,1,,,,,,,8,8,1,,,,,1,4,,4,,,,,,,,6,,,,0,,8,2,,,,8,1,,6,10,16,,,,,,24,,,,,,0,,,
5sfod7t8jgyd344d29gj6vpqs,2026-05-17,7,ÍBV,Víkingur R,H,0-2,Ari í Haraldsstovu Petersen,A. í Petersen,92h0ymqm9kvcav8rvzftpvq0a,33,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
