match_id,date,round,home_team,away_team,team,opponent,team_id,official_team_xg,official_team_setplay_xg,official_team_openplay_xg,official_team_nonpenalty_xg,provider_nonpenalty_setplay_shots,provider_nonpenalty_setplay_shot_xg_raw_sum,provider_nonpenalty_setplay_goals,derived_all_restart_linked_shots,derived_all_restart_linked_xg_raw_sum,derived_linked_shots_classified_open_play_by_provider,source_ma12,source_last_updated,corner_events,free_kick_events,direct_free_kick_events,penalty_events,throw_in_events,goal_kick_events,keeper_throw_events
5waeqvr2fnc77ek7dbsezmvx0,2026-05-22,8,Keflavík,Thór,Thór,Keflavík,dys496cnlmowm95ehcfgcrvbm,1.337400,0.181900,0.367100,0.549000,4,0.181882,0,5,0.970282,0,keflavik_thor_2026_05_22_ma12.json,2026-09-06T22:48:32Z,6,16,0,1,26,11,3
5wt5uajrfqnpxbyfah4s39250,2026-05-22,8,Víkingur R,FH,Víkingur R,FH,7gmdb4hmtrz199zv9r66qy9qp,5.402200,1.879700,3.522500,5.402200,9,1.87971,1,11,1.94979,2,vikingur_r_fh_2026_05_22_ma12.json,2026-09-06T22:48:31Z,11,9,1,0,18,5,0
5wt5uajrfqnpxbyfah4s39250,2026-05-22,8,Víkingur R,FH,FH,Víkingur R,2ci0yr2esa7y4etjvl5vau077,0.036500,0.012100,0.024300,0.036500,1,0.01214,0,2,0.036488,1,vikingur_r_fh_2026_05_22_ma12.json,2026-09-06T22:48:31Z,4,10,0,0,23,16,6
5xe2wgyxhalrwyitk2d3ypi50,2026-05-22,8,Stjarnan,Fram,Stjarnan,Fram,23vg6q15dzr375k6757j06wkq,0.926600,0.196800,0.729800,0.926600,2,0.196825,0,5,0.729247,3,stjarnan_fram_2026_05_22_ma12.json,2026-09-06T22:48:31Z,3,18,1,0,21,17,2
5xe2wgyxhalrwyitk2d3ypi50,2026-05-22,8,Stjarnan,Fram,Fram,Stjarnan,ta7x6ep3lniyckj6la77zw,2.447900,0.455100,1.992800,2.447900,6,0.455087,0,8,0.560608,2,stjarnan_fram_2026_05_22_ma12.json,2026-09-06T22:48:31Z,4,13,0,0,17,10,5
5xysuu5mmphlqpf7z6tl93aqc,2026-05-22,8,Breidablik,KR,Breidablik,KR,c6hu27u143y4z4te8b4036bae,3.294100,0.016600,3.277500,3.294100,1,0.016613,0,3,0.640455,2,breidablik_kr_2026_05_22_ma12.json,2026-09-06T22:48:32Z,5,9,0,0,23,9,2
5xysuu5mmphlqpf7z6tl93aqc,2026-05-22,8,Breidablik,KR,KR,Breidablik,629yaod9sjr350jvivp78vwfz,2.764300,0.489000,1.486900,1.975900,4,0.488997,0,10,2.103733,5,breidablik_kr_2026_05_22_ma12.json,2026-09-06T22:48:32Z,9,20,1,1,31,7,5
5yhgdhagjvjdlldme3bef8c2c,2026-05-26,14,Stjarnan,Víkingur R,Stjarnan,Víkingur R,23vg6q15dzr375k6757j06wkq,0.218900,0.069800,0.149100,0.218900,2,0.069834,1,4,0.194609,2,stjarnan_vikingur_r_2026_05_26_ma12.json,2026-09-06T22:48:31Z,5,10,0,0,22,16,6
5yhgdhagjvjdlldme3bef8c2c,2026-05-26,14,Stjarnan,Víkingur R,Víkingur R,Stjarnan,7gmdb4hmtrz199zv9r66qy9qp,3.299500,0.058300,2.452700,2.511100,2,0.058343,0,4,0.912402,1,stjarnan_vikingur_r_2026_05_26_ma12.json,2026-09-06T22:48:31Z,8,11,0,1,10,6,1
5z0iw9ey7mupyhswas7wg134k,2026-05-26,16,KR,Valur,KR,Valur,629yaod9sjr350jvivp78vwfz,2.801900,0.322800,2.479100,2.801900,6,0.32277,0,9,1.02071,3,kr_valur_2026_05_26_ma12.json,2026-09-06T22:48:31Z,12,14,2,0,30,7,6
5z0iw9ey7mupyhswas7wg134k,2026-05-26,16,KR,Valur,Valur,KR,khmdmbol7850k3i07yusgpn,2.258600,0.423600,1.046600,1.470200,4,0.423621,0,7,1.899459,2,kr_valur_2026_05_26_ma12.json,2026-09-06T22:48:31Z,5,8,0,1,22,16,2
5zjkiizue9zhwif8zwd69hhxw,2026-05-29,9,FH,ÍA,FH,ÍA,2ci0yr2esa7y4etjvl5vau077,0.782700,0.296800,0.485900,0.782700,5,0.296802,0,6,0.312603,1,fh_ia_2026_05_29_ma12.json,2026-09-06T22:48:31Z,12,13,2,0,26,8,7
5zjkiizue9zhwif8zwd69hhxw,2026-05-29,9,FH,ÍA,ÍA,FH,9ar4wcltrggiz60w77e3z56m2,1.315000,0.887200,0.427800,1.315000,4,0.973667,0,5,1.019413,1,fh_ia_2026_05_29_ma12.json,2026-09-06T22:48:31Z,2,10,1,0,21,9,7
602ao60i9ha6ithdcf5zy6w44,2026-05-29,9,Fram,Breidablik,Fram,Breidablik,ta7x6ep3lniyckj6la77zw,2.438000,0.538500,1.899600,2.438000,7,0.53845,1,8,0.61669,2,fram_breidablik_2026_05_29_ma12.json,2026-09-06T22:48:32Z,2,10,1,0,24,8,5
602ao60i9ha6ithdcf5zy6w44,2026-05-29,9,Fram,Breidablik,Breidablik,Fram,c6hu27u143y4z4te8b4036bae,2.216600,0.303400,1.124700,1.428200,5,0.303444,1,5,1.053708,0,fram_breidablik_2026_05_29_ma12.json,2026-09-06T22:48:32Z,4,12,1,1,15,4,10
60moj4g2gmb8623scoavi2rkk,2026-05-31,9,ÍBV,Keflavík,ÍBV,Keflavík,3tlx1zjkgrsdky3abrqe2c9c3,2.178100,0.497800,1.680400,2.178100,5,0.497764,2,7,0.546152,2,ibv_keflavik_2026_05_31_ma12.json,2026-09-06T22:48:32Z,3,9,1,0,19,12,3
60moj4g2gmb8623scoavi2rkk,2026-05-31,9,ÍBV,Keflavík,Keflavík,ÍBV,96h322mg5vnaneem9fjzgvioq,1.010900,0.359900,0.651000,1.010900,4,0.359928,0,5,0.77516,1,ibv_keflavik_2026_05_31_ma12.json,2026-09-06T22:48:32Z,3,12,3,0,24,7,4
615b3srdv6frunw9ue3w1i784,2026-05-31,9,KR,KA,KR,KA,629yaod9sjr350jvivp78vwfz,2.235900,0.437100,1.798800,2.235900,8,0.437075,1,9,0.505302,1,kr_ka_2026_05_31_ma12.json,2026-09-06T22:48:31Z,11,14,2,0,27,6,5
615b3srdv6frunw9ue3w1i784,2026-05-31,9,KR,KA,KA,KR,4mo70a9j7p2ersbrieg5aw3dg,2.099900,1.481600,0.618300,2.099900,9,1.540749,2,13,1.871099,4,kr_ka_2026_05_31_ma12.json,2026-09-06T22:48:31Z,8,15,1,0,30,9,1
61sncuj5iu6h59doot2kc8hec,2026-05-31,9,Thór,Stjarnan,Thór,Stjarnan,dys496cnlmowm95ehcfgcrvbm,1.076600,0.550400,0.526200,1.076600,5,0.550392,1,9,0.91125,4,thor_stjarnan_2026_05_31_ma12.json,2026-09-06T22:48:31Z,10,15,0,0,19,11,8
61sncuj5iu6h59doot2kc8hec,2026-05-31,9,Thór,Stjarnan,Stjarnan,Thór,23vg6q15dzr375k6757j06wkq,3.689700,0.376300,3.313400,3.689700,5,0.376259,1,9,1.56312,4,thor_stjarnan_2026_05_31_ma12.json,2026-09-06T22:48:31Z,4,16,1,0,29,9,1
62b7qpgkvfb6jqy2qu3qu2710,2026-05-31,9,Valur,Víkingur R,Valur,Víkingur R,khmdmbol7850k3i07yusgpn,1.743300,0.963500,0.779800,1.743300,6,0.963455,0,6,0.963455,0,valur_vikingur_r_2026_05_31_ma12.json,2026-09-06T22:48:31Z,8,11,1,0,20,10,4
62b7qpgkvfb6jqy2qu3qu2710,2026-05-31,9,Valur,Víkingur R,Víkingur R,Valur,7gmdb4hmtrz199zv9r66qy9qp,2.844600,0.059700,2.784900,2.844600,2,0.059724,0,4,0.213255,2,valur_vikingur_r_2026_05_31_ma12.json,2026-09-06T22:48:31Z,7,13,0,0,14,4,7
63ffipykqy8vpol7y1ksinwgk,2026-06-14,10,Keflavík,FH,Keflavík,FH,96h322mg5vnaneem9fjzgvioq,2.527100,0.598400,1.928600,2.527100,8,0.598408,0,10,1.611675,2,keflavik_fh_2026_06_14_ma12.json,2026-09-06T22:48:32Z,7,15,1,0,27,7,11
