goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attHdMiss,attHdTotal,attIboxMiss,attMissRight,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Árni Snær Ólafsson,Stjarnan,12,12,1080.0,393.0,47.0,69.0,49.0,5.0,49.0,27.0,101.0,462.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.0,65.0,0.0,1.0,121.0,0.0,3.0,0.0,114.0,1.0,0.0,7.0,12.0,3.0,14.0,9.0,0.0,0.0,0.0,91.0,60.0,12.0,1.0,306.0,12.0,1.0,58.0,28.0,22.0,6.0,5.0,0.0,91.0,50.0,1.0,139.0,146.0,67.0,11.0,1080.0,0.0,1.0,464.0,0.0,22.0,20.0,10.0,7.0,2.0,1.0,2.0,0.0,109.0,109.0,24.0,1.0,65.0,3.0,0.0,121.0,30.0,18.0,48.0,1.0,0.0,0.0,7.0,34.0,23.0,34.0,387.0,2.0,1.0,0.0,1.0,1.0,419.0,71.0,9.0,3.0,91.0,148.0,7.0,5.0,83.0,200.0,567.0,0.0,0.0,0.0,1.0,1.0,698.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0
Frederik August Albrecht Schram,Valur,12,12,1080.0,231.0,28.0,52.0,71.0,6.0,60.0,33.0,102.0,283.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,106.0,0.0,0.0,111.0,0.0,1.0,0.0,39.0,1.0,2.0,7.0,14.0,2.0,8.0,21.0,0.0,0.0,0.0,77.0,30.0,12.0,0.0,286.0,12.0,1.0,114.0,24.0,19.0,5.0,8.0,0.0,87.0,62.0,0.0,74.0,179.0,53.0,8.0,1080.0,0.0,0.0,292.0,0.0,33.0,23.0,10.0,4.0,1.0,0.0,1.0,0.0,186.0,186.0,16.0,0.0,13.0,12.0,0.0,101.0,24.0,23.0,49.0,0.0,0.0,0.0,17.0,18.0,9.0,18.0,190.0,2.0,0.0,0.0,1.0,0.0,283.0,40.0,21.0,1.0,77.0,178.0,9.0,6.0,138.0,280.0,461.0,0.0,0.0,0.0,0.0,1.0,614.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Halldór Snær Georgsson,KR,12,11,1069.0,499.0,28.0,32.0,62.0,17.0,68.0,18.0,53.0,531.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,38.0,0.0,0.0,134.0,1.0,4.0,1.0,72.0,0.0,0.0,0.0,1.0,2.0,8.0,23.0,0.0,1.0,0.0,41.0,38.0,11.0,0.0,329.0,11.0,0.0,68.0,28.0,25.0,3.0,5.0,0.0,83.0,68.0,0.0,211.0,101.0,33.0,11.0,1069.0,1.0,1.0,546.0,0.0,11.0,11.0,3.0,3.0,1.0,0.0,1.0,0.0,102.0,102.0,44.0,2.0,43.0,6.0,3.0,93.0,21.0,12.0,33.0,2.0,0.0,0.0,28.0,12.0,11.0,12.0,452.0,0.0,0.0,1.0,0.0,2.0,533.0,56.0,23.0,0.0,41.0,100.0,9.0,17.0,78.0,145.0,633.0,0.0,0.0,1.0,1.0,1.0,773.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Anton Ari Einarsson,Breidablik,11,11,990.0,250.0,37.0,41.0,13.0,4.0,50.0,25.0,82.0,291.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,51.0,0.0,0.0,103.0,0.0,4.0,0.0,65.0,0.0,3.0,1.0,8.0,0.0,6.0,7.0,0.0,3.0,1.0,51.0,40.0,11.0,0.0,278.0,11.0,0.0,19.0,20.0,19.0,1.0,6.0,0.0,80.0,51.0,0.0,65.0,139.0,42.0,7.0,990.0,1.0,1.0,357.0,1.0,14.0,14.0,1.0,1.0,2.0,0.0,2.0,0.0,130.0,130.0,16.0,1.0,31.0,1.0,0.0,74.0,33.0,11.0,44.0,2.0,0.0,0.0,6.0,12.0,9.0,12.0,262.0,0.0,0.0,0.0,0.0,2.0,279.0,64.0,7.0,0.0,51.0,138.0,7.0,4.0,100.0,205.0,417.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,11,11,990.0,128.0,11.0,22.0,64.0,6.0,49.0,17.0,46.0,150.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,63.0,0.0,0.0,89.0,0.0,5.0,1.0,12.0,1.0,0.0,7.0,10.0,1.0,9.0,16.0,0.0,0.0,0.0,32.0,14.0,11.0,0.0,167.0,11.0,0.0,91.0,28.0,24.0,4.0,5.0,0.0,66.0,49.0,0.0,36.0,90.0,22.0,15.0,990.0,0.0,0.0,126.0,0.0,5.0,18.0,1.0,0.0,2.0,0.0,2.0,0.0,103.0,103.0,18.0,0.0,0.0,8.0,1.0,49.0,23.0,11.0,35.0,0.0,0.0,0.0,20.0,5.0,3.0,5.0,74.0,1.0,0.0,1.0,0.0,0.0,162.0,14.0,16.0,0.0,32.0,90.0,5.0,6.0,81.0,146.0,252.0,0.0,0.0,0.0,3.0,0.0,366.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,11,11,990.0,110.0,14.0,47.0,18.0,8.0,36.0,32.0,64.0,157.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0,48.0,0.0,0.0,102.0,0.0,3.0,1.0,43.0,0.0,1.0,5.0,9.0,2.0,1.0,20.0,2.0,0.0,0.0,80.0,55.0,11.0,2.0,207.0,11.0,1.0,31.0,24.0,21.0,3.0,3.0,2.0,81.0,37.0,0.0,58.0,164.0,47.0,9.0,990.0,1.0,0.0,228.0,0.0,16.0,50.0,9.0,5.0,2.0,2.0,2.0,0.0,143.0,143.0,18.0,0.0,24.0,9.0,1.0,33.0,19.0,14.0,35.0,1.0,0.0,0.0,8.0,18.0,9.0,18.0,125.0,1.0,0.0,1.0,0.0,1.0,134.0,21.0,20.0,0.0,80.0,164.0,4.0,8.0,138.0,202.0,298.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Steinþór Már Auðunsson,KA,11,11,990.0,220.0,22.0,27.0,41.0,4.0,50.0,16.0,59.0,247.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,62.0,0.0,0.0,103.0,0.0,5.0,1.0,37.0,0.0,2.0,1.0,7.0,1.0,8.0,10.0,0.0,0.0,0.0,47.0,18.0,11.0,1.0,235.0,11.0,0.0,74.0,22.0,20.0,2.0,11.0,0.0,73.0,50.0,0.0,49.0,119.0,27.0,12.0,990.0,0.0,0.0,255.0,0.0,16.0,38.0,5.0,1.0,2.0,1.0,2.0,0.0,120.0,120.0,18.0,1.0,18.0,3.0,1.0,81.0,33.0,10.0,43.0,0.0,0.0,0.0,26.0,10.0,5.0,10.0,193.0,1.0,0.0,1.0,0.0,0.0,246.0,42.0,10.0,2.0,47.0,119.0,11.0,4.0,65.0,175.0,365.0,0.0,0.0,0.0,1.0,0.0,490.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0
Ásgeir Orri Magnússon,Keflavík,11,11,990.0,177.0,25.0,63.0,37.0,19.0,75.0,40.0,102.0,240.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,50.0,1.0,0.0,143.0,0.0,3.0,0.0,59.0,1.0,2.0,2.0,10.0,3.0,6.0,31.0,1.0,0.0,1.0,48.0,22.0,11.0,1.0,273.0,11.0,2.0,71.0,21.0,19.0,2.0,11.0,1.0,112.0,80.0,0.0,58.0,164.0,66.0,5.0,990.0,1.0,0.0,252.0,0.0,11.0,20.0,5.0,4.0,0.0,1.0,1.0,0.0,138.0,138.0,19.0,1.0,21.0,11.0,1.0,40.0,26.0,10.0,36.0,1.0,1.0,1.0,14.0,17.0,6.0,17.0,178.0,0.0,0.0,0.0,0.0,1.0,210.0,37.0,31.0,2.0,49.0,161.0,16.0,20.0,106.0,228.0,371.0,1.0,0.0,0.0,0.0,0.0,547.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
Aron Birkir Stefánsson,Thór,11,11,990.0,185.0,48.0,46.0,42.0,2.0,57.0,22.0,100.0,231.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,70.0,0.0,0.0,118.0,0.0,8.0,1.0,28.0,0.0,1.0,15.0,26.0,3.0,7.0,18.0,0.0,1.0,0.0,98.0,52.0,11.0,0.0,292.0,11.0,0.0,78.0,28.0,25.0,3.0,14.0,0.0,88.0,60.0,0.0,78.0,198.0,48.0,17.0,990.0,0.0,1.0,269.0,1.0,64.0,28.0,6.0,4.0,2.0,0.0,3.0,1.0,187.0,187.0,16.0,0.0,8.0,9.0,1.0,43.0,40.0,14.0,54.0,1.0,0.0,0.0,14.0,21.0,11.0,21.0,165.0,1.0,0.0,1.0,0.0,1.0,218.0,94.0,18.0,0.0,98.0,195.0,14.0,2.0,98.0,280.0,413.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aron Snær Friðriksson,Víkingur R,8,7,675.0,147.0,13.0,21.0,9.0,4.0,22.0,21.0,41.0,168.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,47.0,0.0,2.0,0.0,33.0,0.0,5.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,27.0,19.0,7.0,0.0,144.0,7.0,0.0,14.0,2.0,1.0,1.0,2.0,0.0,37.0,23.0,0.0,36.0,68.0,22.0,6.0,675.0,0.0,0.0,205.0,0.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,8.0,0.0,10.0,4.0,0.0,51.0,10.0,2.0,12.0,0.0,0.0,0.0,7.0,9.0,6.0,9.0,155.0,1.0,0.0,0.0,1.0,0.0,164.0,35.0,6.0,1.0,27.0,67.0,2.0,4.0,50.0,102.0,231.0,0.0,0.0,1.0,1.0,1.0,277.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
