match_id,date,round,team,opponent,venue,result,goalkeeper,match_name,player_id,shirt_number,listed_position,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attFreekickGoal,attFreekickTotal,attGoalHighLeft,attHdMiss,attHdTotal,attIboxMiss,attLgRight,attMissRight,attOboxGoal,attRfGoal,attRfTotal,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goals,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,headPass,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,secondGoalAssist,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,expectedGoalsConceded,expectedGoalsNonpenaltyConceded,expectedGoalsontargetConceded,expectedGoalsontargetNonpenaltyConceded,team_id,goalkeeper_identity_method,source_ma2,source_ma12,source_last_updated,source_opta_player_id,source_opta_player_name,canonical_player_id,canonical_player_id_status,identity_correction_source,source_opta_goalkeeper_full_name,derived_pass_completion_pct,derived_long_pass_completion_pct,derived_goal_kick_completion_pct,derived_saves_per90,derived_xgot_minus_non_own_goals_conceded,xg_zero_fill_fields,diveCatch,attMissLeft,dispossessed
6hw3h5x1v9e7ruwv3td3lx4ic,2026-07-13,14,Breidablik,Keflavík,H,2-1,Anton Ari Einarsson,A. Einarsson,9zzg49vnaufp7j6yj7pcg6sb9,1,Goalkeeper,21,1,4,3,,8,2,,5,25,,,,,,,,,,,,,,,,,,,,9,6,,,,11,,,,2,,,2,2,,,,,,1,2,2,1,,22,1,1,4,,1,,1,,,,10,9,,7,9,5,2,90,,,,24,,,1,1,1,,,,,7,7,1,,,,,2,3,2,5,,,,1,,1,1,1,21,1,1,,0,,23,1,,,2,8,,,5,,10,31,,,,,,47,,,,,,0,,,,,0.994600,0.994600,0.700700,0.700700,c6hu27u143y4z4te8b4036bae,lineup_position,breidablik_keflavik_2026_07_13_ma2.json,breidablik_keflavik_2026_07_13_ma12.json,2026-09-06T22:48:32Z,9zzg49vnaufp7j6yj7pcg6sb9,A. Einarsson,9zzg49vnaufp7j6yj7pcg6sb9,as_supplied_by_opta,,Anton Ari Einarsson,80.65,50.0,75.0,5.0,-0.2993,,,,
6hw3h5x1v9e7ruwv3td3lx4ic,2026-07-13,14,Keflavík,Breidablik,A,1-2,Ásgeir Orri Magnússon,Ásgeir Orri Magnússon,67iuqfijm1h3db1j85g111rf8,1,Goalkeeper,26,5,8,5,4,4,5,,14,34,,,,,,,,,,,,,,,,,,,,8,2,,,,4,,1,1,8,,,,,,,3,,,1,1,1,1,,22,1,,6,,2,2,,1,,,3,4,,8,10,8,2,90,,,,30,,3,,,,,,,,4,4,,,4,,1,8,1,2,3,,,,,,1,1,1,27,,,1,0,,28,6,3,,1,10,3,4,7,,18,38,,,,,,52,,,,,,0,,,,,0.791000,0.791000,1.780700,1.780700,96h322mg5vnaneem9fjzgvioq,lineup_position,breidablik_keflavik_2026_07_13_ma2.json,breidablik_keflavik_2026_07_13_ma12.json,2026-09-06T22:48:32Z,67iuqfijm1h3db1j85g111rf8,Ásgeir Orri Magnússon,67iuqfijm1h3db1j85g111rf8,as_supplied_by_opta,,Ásgeir Orri Magnússon,89.47,77.78,83.33,3.0,-0.2193,,,,
6ijfmztvizp14h1hxr0k90rv8,2026-07-18,15,Thór,Víkingur R,H,2-1,Aron Birkir Stefánsson,A. Stefánsson,2vfiu4zekww816g1j3bverill,1,Goalkeeper,20,,9,3,1,3,7,,10,29,,,,,,,,,,,,,,,,,,,,15,4,,,,11,,1,,10,,,2,3,,2,2,,,,17,8,1,,36,1,1,11,,1,1,,,,,9,3,,7,27,9,2,90,,,,33,,2,11,1,1,,,,,20,20,2,,2,2,,5,2,1,3,,,,,,4,3,4,25,,,,0,,21,1,2,,17,27,,1,17,,29,48,,,,,,61,,,,,2,0,,,,1,1.514900,1.514900,1.030700,1.030700,dys496cnlmowm95ehcfgcrvbm,lineup_position,thor_vikingur_r_2026_07_18_ma2.json,thor_vikingur_r_2026_07_18_ma12.json,2026-09-06T22:48:31Z,2vfiu4zekww816g1j3bverill,A. Stefánsson,2vfiu4zekww816g1j3bverill,as_supplied_by_opta,,Aron Birkir Stefánsson,60.42,34.48,27.27,3.0,0.0307,,,,
6ijfmztvizp14h1hxr0k90rv8,2026-07-18,15,Víkingur R,Thór,A,1-2,Ögmundur Kristinsson,Ö. Kristinsson,3id109ui2dalt4xel2wf2x1p1,47,Goalkeeper,27,2,1,3,1,6,1,,3,28,,1,,,,,,,,,,,,,,,,,,5,7,,,,11,,1,,7,,,,,1,,1,,,,1,1,1,,9,1,,3,,2,1,1,,,,7,6,,18,2,1,,90,,,,26,,1,,,,,,,,3,3,4,,2,,,4,1,1,2,,,,,1,,,,24,,,,0,,29,2,1,,1,2,,1,3,,6,31,,,,,,40,,,,,,0,,,,,0.879700,0.879700,2.277900,2.277900,7gmdb4hmtrz199zv9r66qy9qp,lineup_position,thor_vikingur_r_2026_07_18_ma2.json,thor_vikingur_r_2026_07_18_ma12.json,2026-09-06T22:48:31Z,3id109ui2dalt4xel2wf2x1p1,Ö. Kristinsson,3id109ui2dalt4xel2wf2x1p1,as_supplied_by_opta,,Ögmundur Kristinsson,90.32,50.0,100.0,2.0,0.2779,,,,
6j20pj0jj17jfhnurgrpg00es,2026-07-18,15,Valur,Fram,H,2-3,Frederik August Albrecht Schram,F. Schram,c4esrbgbv6v715768v2cb676d,18,Goalkeeper,30,1,,6,,6,1,,3,30,,,1,,1,,1,,,,1,1,1,,1,,,,,16,8,1,,,10,,,,5,,,,1,,1,1,,,1,6,4,1,,25,1,,11,,3,2,1,1,,,6,6,,14,14,,1,90,,,,35,,1,2,1,1,,,,,18,18,3,,2,,,9,,3,3,,,1,,,,,,24,,,,0,,34,3,1,,6,14,1,,9,,19,48,1,,,,,60,1,1,,,,0,,,,,2.724200,2.724200,1.867600,1.867600,khmdmbol7850k3i07yusgpn,lineup_position,valur_fram_2026_07_18_ma2.json,valur_fram_2026_07_18_ma12.json,2026-09-06T22:48:31Z,c4esrbgbv6v715768v2cb676d,F. Schram,c4esrbgbv6v715768v2cb676d,as_supplied_by_opta,,Frederik August Albrecht Schram,62.5,15.79,54.55,3.0,-1.1324,,,,
6j20pj0jj17jfhnurgrpg00es,2026-07-18,15,Fram,Valur,A,3-2,Viktor Freyr Sigurðsson,V. Sigurðsson,ep3hf2ww6epapo978sbn665be,22,Goalkeeper,12,,3,,2,9,2,,3,15,,,,,,,,,,,,,,,,,,,,10,12,,,,16,,,,,,,1,1,,,2,,,,3,2,1,,20,1,,1,,2,1,1,,,,14,9,,7,11,3,1,90,,,,27,,6,1,,,,,,,15,15,2,,,1,,3,4,1,5,,,,,,1,1,1,14,,,,0,,19,2,2,,3,11,,2,11,,17,30,,,,,,46,,,,,,0,,,,,1.415900,1.415900,1.086000,1.086000,ta7x6ep3lniyckj6la77zw,lineup_position,valur_fram_2026_07_18_ma2.json,valur_fram_2026_07_18_ma12.json,2026-09-06T22:48:31Z,ep3hf2ww6epapo978sbn665be,V. Sigurðsson,ep3hf2ww6epapo978sbn665be,as_supplied_by_opta,,Viktor Freyr Sigurðsson,50.0,17.65,0.0,5.0,-0.914,,,,
6jlfl6fir4sxq6lmrws6ydrf8,2026-07-19,15,ÍBV,KA,H,2-2,Ari í Haraldsstovu Petersen,A. Petersen,92h0ymqm9kvcav8rvzftpvq0a,33,Goalkeeper,28,4,2,3,,7,1,,7,30,,,,,,,,,,,,,,,,,,,,7,6,,,,11,,,,7,,,,2,,,,,,,3,2,1,,14,1,,5,,2,1,1,,,,7,7,,19,6,2,,90,,,,33,,1,,,,,,,,8,8,4,,2,,,5,2,1,3,,,,,,1,,1,27,,,,0,,32,5,,,3,6,,,6,,15,38,,,,,,48,,,,,,0,,,,,1.202600,1.202600,2.006500,2.006500,3tlx1zjkgrsdky3abrqe2c9c3,lineup_position,ibv_ka_2026_07_19_ma2.json,ibv_ka_2026_07_19_ma12.json,2026-09-06T22:48:32Z,92h0ymqm9kvcav8rvzftpvq0a,A. Petersen,92h0ymqm9kvcav8rvzftpvq0a,as_supplied_by_opta,,Ari í Haraldsstovu Petersen,78.95,46.67,60.0,3.0,0.0065,,,,
6jlfl6fir4sxq6lmrws6ydrf8,2026-07-19,15,KA,ÍBV,A,2-2,Ívar Arnbro Þórhallsson,Í. Þórhallsson,b4ffy39rimcfhu66yflwba8t0,1,Goalkeeper,20,3,3,7,3,4,,,4,23,,,1,,,,,,,,,,,,,,,,,11,5,,,,9,,2,,2,,,,,,1,3,,,,7,3,1,,19,1,,12,,2,2,,1,,,4,4,,6,15,3,1,90,,,,22,,,8,,,1,,1,,15,15,4,,1,2,,13,2,1,3,,,,,,,,,15,,,,0,,23,3,3,,7,15,1,3,9,,19,38,,,,,,49,,,,,,0,,,,,2.079700,1.291300,2.242200,1.541700,4mo70a9j7p2ersbrieg5aw3dg,lineup_position,ibv_ka_2026_07_19_ma2.json,ibv_ka_2026_07_19_ma12.json,2026-09-06T22:48:32Z,b4ffy39rimcfhu66yflwba8t0,Í. Þórhallsson,b4ffy39rimcfhu66yflwba8t0,as_supplied_by_opta,,Ívar Arnbro Þórhallsson,60.53,21.05,58.33,3.0,0.2422,,,,
6kml4na7gmf0yn6ds3bjli784,2026-07-19,15,KR,Stjarnan,H,5-0,Halldór Snær Georgsson,H. Georgsson,cdx5akkzjrm6j7erasu8k4hlg,12,Goalkeeper,31,2,5,8,2,3,4,,7,36,,,,,,,,,,,,,,,,,,,,7,3,,,,4,,,,6,,1,,,,,2,1,,,1,1,1,,23,1,,9,,,,,,1,,3,3,,13,8,5,,90,,,,31,,1,1,,,,,,,5,5,1,,3,,,5,,,,,,,,,1,1,1,27,,,,0,,33,3,2,,1,8,,2,6,,12,41,,,,,,46,,,,,,0,,,,,1.127700,1.127700,0,0,629yaod9sjr350jvivp78vwfz,lineup_position,kr_stjarnan_2026_07_19_ma2.json,kr_stjarnan_2026_07_19_ma12.json,2026-09-06T22:48:31Z,cdx5akkzjrm6j7erasu8k4hlg,H. Georgsson,cdx5akkzjrm6j7erasu8k4hlg,as_supplied_by_opta,,Halldór Snær Georgsson,87.8,58.33,88.89,0.0,0.0,expectedGoalsontargetConceded|expectedGoalsontargetNonpenaltyConceded,,,
6kml4na7gmf0yn6ds3bjli784,2026-07-19,15,Stjarnan,KR,A,0-5,Árni Snær Ólafsson,Á. Ólafsson,7ibfw77zng0sh9dv2h0srauol,12,Goalkeeper,32,7,7,3,1,3,3,,11,39,,,,,,,,,,,,,,,,,,,,22,14,,,,8,,2,,7,,,1,3,,,,,1,,12,11,1,,33,1,,3,,5,4,1,1,,,6,3,,12,19,7,1,90,,,,44,,2,4,2,2,1,,1,,13,13,1,,4,,,7,6,1,7,,,,,,3,3,3,34,,,,0,,33,12,,,12,19,1,1,9,,24,52,,,,,,63,,,,,,0,,,,,4.397300,3.608900,4.349900,3.482500,23vg6q15dzr375k6757j06wkq,lineup_position,kr_stjarnan_2026_07_19_ma2.json,kr_stjarnan_2026_07_19_ma12.json,2026-09-06T22:48:31Z,7ibfw77zng0sh9dv2h0srauol,Á. Ólafsson,7ibfw77zng0sh9dv2h0srauol,as_supplied_by_opta,,Árni Snær Ólafsson,75.0,45.83,100.0,7.0,-0.6501,,,,
